products_classification_description;famille d'attribut;;;;;;;
SAC ISOTHERME;Bagagerie;;;;;;;
SALOPETTE;Vêtements;;;;;;;
SERRE-TETE;Default;;;;;;;
SERVIETTE DE TOILETTE;Textile;;;;;;;
SHORT;Vêtements;;;;;;;
SIEGE AUTO;Sièges auto;;;;;;;
SLIP DE BAIN;Vêtements;;;;;;;
SOUS-PULL;Vêtements;;;;;;;
SPORT_CLASSIC;Chaussures;;;;;;;
SPORT_SANDALE;Chaussures;;;;;;;
SPORT_TENNIS;Chaussures;;;;;;;
STERILISATEUR;Biberonnerie;;;;;;;
SUCETTES;Biberonnerie;;;;;;;
SUR-PYJAMA;Vêtements;;;;;;;
SWEAT;Vêtements;;;;;;;
TABLIER;Vêtements;;;;;;;
TAPIS D'EVEIL;Jouets;;;;;;;
TEE-SHIRT;Vêtements;;;;;;;
TETINE;Biberonnerie;;;;;;;
THERMOMETRE;Hygiène et bain;;;;;;;
TIRE LAIT;Biberonnerie;;;;;;;
TOILE_BABIES;Chaussures;;;;;;;
TOILE_BALLERINE;Chaussures;;;;;;;
TOILE_BASKET;Chaussures;;;;;;;
TOILE_ESPADRILLE;Chaussures;;;;;;;
TOILE_SALOME;Chaussures;;;;;;;
TOILE_TENNIS;Chaussures;;;;;;;
TRANSAT;Berceaux couffins et nacelles;;;;;;;
TRANSAT DE BAIN;Hygiène et bain;;;;;;;
TROUSSE;Textile;;;;;;;
TROUSSEAU;Textile;;;;;;;
VANITY;Textile;;;;;;;
VEILLE BB;Electroménager;;;;;;;
VEILLEUSE;Electroménager;;;;;;;
VESTE;Vêtements;;;;;;;
VESTE AUTRICHIENNE;Vêtements;;;;;;;
VILLE_BABIES;Chaussures;;;;;;;
VILLE_BALLERINE;Chaussures;;;;;;;
VILLE_BASKET;Chaussures;;;;;;;
VILLE_BOOTS;Chaussures;;;;;;;
VILLE_BOTTE;Chaussures;;;;;;;
VILLE_BOTTILLON;Chaussures;;;;;;;
VILLE_DERBY;Chaussures;;;;;;;
VILLE_LAYETTE;Chaussures;;;;;;;
VILLE_MOCASSIN;Chaussures;;;;;;;
VILLE_NU PIEDS;Chaussures;;;;;;;
VILLE_PARC;Chaussures;;;;;;;
VILLE_SALOME;Chaussures;;;;;;;
VILLE_SANDALE;Chaussures;;;;;;;
VILLE_SANDALETTE;Chaussures;;;;;;;
