(Non spécifié);
;
0;
AD;5
AE;221
AF;1
AG;9
AI;7
AL;2
AM;11
AN;151
AO;6
AQ;8
AR;10
AS;4
AT;14
AU;13
AW;12
AZ;15
BA;27
BB;19
BD;18
BE;21
Belgique;21
BF;34
BG;33
BH;17
BI;35
BJ;23
BM;24
BN;32
BO;26
BR;30
BS;16
BT;25
BV;29
BW;28
BY;20
BZ;22
CA;38
CC;46
CD;240
CF;41
CG;49
CH;204
CI;52
CK;50
CL;43
CM;37
CN;44
CO;47
CR;51
CU;54
CV;39
CX;45
CY;55
CZ;56
DE;81
DJ;58
DK;57
DM;59
DO;60
DZ;3
EC;62
EE;67
EG;63
EH;234
ER;66
ES;195
ET;68
FI;72
FJ;71
FK;69
FM;139
FO;70
FR;73
France;73
GA;78
GB;222
GD;86
GE;80
GF;75
GH;82
GI;83
GL;85
GM;79
GN;90
GP;87
GQ;65
GR;84
GS;194
GT;89
GU;88
GW;91
GY;92
HK;96
HM;94
HN;95
HR;53
HT;93
HU;97
ID;100
IE;103
IL;104
IN;99
IO;31
IQ;102
IR;101
IS;98
IT;105
JM;106
JO;108
JP;107
KE;110
KG;115
KH;36
KI;111
KM;48
KN;178
KP;112
KR;113
KW;114
KY;40
KZ;109
LA;116
LB;118
LC;179
LI;122
LK;196
LR;120
LS;119
LT;123
LU;124
LV;117
LY;121
MA;144
MC;141
MD;140
ME;243
MG;127
MH;133
MK;126
ML;131
MM;146
MN;142
MO;125
MP;159
MQ;134
MR;135
MS;143
MT;132
MU;136
MV;130
MW;128
MX;138
MY;129
MZ;145
NA;147
NC;152
NE;155
NF;158
NG;156
NI;154
NL;150
NO;160
NP;149
NR;148
NU;157
NZ;153
OM;161
PA;164
PE;167
PF;76
PG;165
PH;168
PK;162
PL;170
PM;198
PN;169
PR;172
PS;241
PT;171
PW;163
PY;166
QA;173
RE;174
RO;175
RS;242
RU;176
RW;177
SA;184
SB;191
SC;186
SD;199
SE;203
SG;188
SH;197
SI;190
SJ;201
SK;189
SL;187
SM;182
SN;185
SO;192
SR;200
ST;183
SV;64
SY;205
SZ;202
TC;217
TD;42
TF;77
TG;210
TH;209
TJ;207
TK;211
TL;61
TM;216
TN;214
TO;212
TR;215
TT;213
TV;218
TW;206
TZ;208
UA;220
UG;219
UM;224
US;223
UY;225
UZ;226
VA;228
VC;180
VE;229
VG;231
VI;232
VN;230
VU;227
WF;233
WS;181
YE;235
YT;137
ZA;193
ZM;238
ZW;239
