code_colombus;code_mapped
BLRU;Rouge,Blanc
BLTA;Blanc
BLTU;Blanc
BLUC;Bleu
BMA2;Marron
BMAC;Rose
BMAF;Violet
BMAM;Rose
BMRG;Multicolore
BMTU;Multicolore
BMVE;Multicolore
BOBR;Rouge
BOFC;Rouge
BOJE;Rouge
BOMA;Rouge
BOMR;Rouge
BOR;Rouge
BORC;Orange
BORD;Rouge
BORF;Orange
BORM;Orange
BORS;Rouge
BOUT;Vert
BOVE;Multicolore
BPTQ;Multicolore
BRCA;Bleu
BRD;Rouge
BRFC;Rouge,Rose
BRIQ;Rouge,Rose
BRMO;Rouge,Rose
BRNO;Rouge,Rose
BRO2;Rose
BROC;Rouge
BROF;Rouge
BROM;Rouge
BRRG;Bleu
BRSA;Blanc
BRUT;Bleu
BRVE;Rouge
BTMA;Vert
BTUC;Bleu
BTUR;Bleu
BUGR;Bleu
BUMA;Bleu
BVEC;Vert
BVEF;Vert
BVEM;Vert
BVIF;Violet
BVIM;Violet
CACA;Marron
CACT;Vert
CAEC;Beige
CAME;Beige
CANA;Jaune
CAND;Jaune
CANO;Rouge
CARM;Rouge
CASS;Rose
CEEC;Rouge,Rose
CEGR;Multicolore
CERI;Rouge,Rose
CERS;Multicolore
CHAI;Vert
CHAM;Beige
CHAR;Beige
CHAT;Marron,Beige
CHCI;Marron
CHEC;Marron
CHJO;Marron
CHOC;Marron
CHRO;Marron
CICH;Bleu
CIDR;Bleu
CIEC;Bleu,Beige
CIEL;Bleu
CIGR;Gris,Bleu
CIMA;Bleu
CIMO;Bleu
CIMR;Marron,Bleu
CINA;Bleu,Beige
CIRO;Rose,Bleu
CITR;Jaune
CITS;Bleu,Autres
CIVE;Vert,Jaune
CLEM;Orange
CORA;Rose,Orange
CPSA;Multicolore
CRAI;Beige
CRVE;Multicolore
CTRO;Orange
DEBL;Noir
DECL;Bleu
DEFC;Bleu
DEGR;Gris
DEMA;Marron
DEMO;Bleu
DENI;Bleu
DFFU;Rose
DORE;Jaune
DOUB;Bleu
DPRO;Rose
DRAG;Rose
DREC;Rose
DRPR;Rose
DRRO;Rose
DVLI;Autres
EBEN;Noir,Marron
ECBL;Bleu,Beige
ECFU;Violet,Rose,Beige
ECGC;Gris,Beige
ECGR;Gris,Beige
ECLI;Rouge,Beige
ECMA;Bleu,Beige
ECMR;Marron,Beige
ECMV;Violet,Beige
ECNA;Beige
ECOC;Beige
ECOR;Orange,Beige
ECPR;Violet,Beige
ECRS;Rose,Beige
ECRU;Beige
ECSA;Beige
ECVE;Rouge
EMER;Vert
ENZY;Multicolore
EORG;Rouge,Orange,Multicolore,Beige
EPIC;Multicolore
FAN;Multicolore,Autres
FICE;Beige
FLEU;Multicolore,Autres
FMRO;Violet,Rose
FONT;Vert
FORE;Vert
FOUG;Vert
FRAI;Rose
FRAM;Rouge,Rose
FRRO;Rouge,Rose
FUFR;Rose
FUMA;Rose
FURO;Rose
FUSA;Rose
FUSH;Rose
FUVE;Multicolore
GALE;Gris
GAZO;Vert
GCEC;Gris
GFEC;Gris
GIEC;Beige
GITA;Bleu
GITU;Gris
GOSP;Marron
GRBL;Gris,Blanc
GRCH;Gris
GRIC;Gris
GRIF;Gris
GRIS;Gris
GRMA;Gris
GRMO;Gris
GRNO;Gris
GROR;Gris
GRPA;Gris
GRPE;Gris
GRRO;Rouge,Gris
GRSA;Gris
GRTU;Gris
GRVE;Gris
HEEC;Rouge
HERM;Rouge
IMPR;Multicolore,Autres
INCA;Multicolore,Autres
INCO;Blanc,Autres
INDI;Bleu
INEC;Bleu
IRIS;Multicolore
IVOI;Beige
JACL;Jaune
JAFC;Jaune
JAGR;Gris
JAKA;Jaune
JAMO;Jaune
JAOR;Orange,Jaune
JARO;Jaune
JARR;Autres
JAUN;Jaune
JAVE;Jaune
JEAN;Bleu
JEBL;Bleu
JEBR;Rose,Bleu
JEMA;Bleu
JENO;Noir
JEPR;Violet
JERO;Rose
JESA;Beige
JOKV;Vert,Multicolore
JOR;Jaune
JORG;Rouge,Multicolore,Jaune
JOSA;Jaune,Beige
JRVI;Multicolore,Jaune
JVEL;Multicolore
KACL;Vert
KAFO;Vert
KAKI;Vert
KAMA;Vert,Orange,Multicolore
KAMO;Vert
KAOR;Vert,Orange,Multicolore
KARG;Rouge
KARS;Vert,Multicolore
KG;Autres
KKMA;Multicolore
L;Autres
LAAN;Bleu
LAGO;Bleu
LAVA;Violet
LDVI;Violet
LICH;Vert
LILA;Violet,Rose
LIME;Vert
LIN;Beige
LION;Rouge,Marron
LIVO;Vert
M;Autres
MABL;Bleu,Blanc
MACL;Violet,Rose
MAEC;Bleu,Beige
MAF2;Marron
MAFU;Violet,Rose,Marron
MAGR;Marron,Gris
MAIS;Jaune
MALA;Rose
MAMO;Bleu
MANC;Multicolore
MAND;Orange
MANM;Multicolore
MARC;Marron
MARE;Beige
MARG;Rouge
MARI;Bleu
MARM;Marron
MARO;Marron
MAST;Beige
MAUM;Violet,Rose
MAUV;Violet
MAVE;Vert
MAVI;Violet,Bleu
MBEC;Multicolore
MBEF;Multicolore
MBEM;Multicolore
MBLC;Multicolore
MBLF;Multicolore
MBLM;Multicolore
MBOF;Multicolore
MBRF;Multicolore
MBRM;Multicolore
MCIM;Multicolore
MENT;Vert
MGRC;Multicolore
MGRF;Multicolore
MGRM;Multicolore
MJAC;Multicolore
MJAF;Multicolore
MJAM;Multicolore
MKAC;Multicolore
MKAM;Multicolore
MKFO;Multicolore
MMA2;Marron
MMAC;Multicolore
MMAF;Multicolore
MMAM;Multicolore
MOKA;Marron
MORC;Multicolore
MORF;Multicolore
MORM;Multicolore
MOUS;Vert
MOUT;Jaune
MR03;Rose
MR04;Rose
MRO2;Rose
MROC;Rouge,Multicolore
MROF;Rouge,Multicolore
MROM;Rouge,Multicolore
MRSA;Marron
MRVI;Violet,Rose
MTUC;Multicolore
MUAS;Multicolore
MUBL;Multicolore
MUBO;Multicolore
MUBR;Multicolore
MUEC;Multicolore
MUFU;Multicolore
MULT;Multicolore
MUMA;Multicolore
MUNO;Multicolore
MURE;Violet
