famille,age,sexe,attribute_set,,categories_es,categories_it
ACCESSOIRES DE ,BEBE,M,Default,,,
ACCESSOIRES DE ,DPAM,F,Default,,Niña 3 – 14 años/Accesorios niña/Varios,Bambina 3 - 14 anni/Accessori bambina/Altro
ACCESSOIRES DE ,DPAM,G,Default,,Niño 3 - 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
ACCESSOIRES DE ,DPAM,M,Default,,Niño 3 - 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
ACCESSOIRES POU,BEBE,F,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES POU,BEBE,G,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES POU,BEBE,M,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES POU,DPAM,F,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES POU,DPAM,G,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES POU,DPAM,M,Accessoires Poussettes,,El Universo del Recién Nacido/La Puericultura/De Paseo/accesorios silla de paseo,L'universo del neonato/Articoli per bambini/A spasso/Accessori passeggino
ACCESSOIRES REP,BEBE,F,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ACCESSOIRES REP,BEBE,G,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ACCESSOIRES REP,BEBE,M,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ACCESSOIRES REP,DPAM,F,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ACCESSOIRES REP,DPAM,G,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ACCESSOIRES REP,DPAM,M,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
