famille;age;sexe;attribute_set;categories_fr
ASSIETTE;BEBE;G;Vaisselle;La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas
ASSIETTE;BEBE;M;Vaisselle;La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas
ASSIETTE;DPAM;F;Vaisselle;La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas
ASSIETTE;DPAM;G;Vaisselle;La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas
ASSIETTE;DPAM;M;Vaisselle;La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas
BAIGNADE_NU PIE;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Tongs, Plage
BAIGNADE_NU PIE;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Tongs, Plage
BAIGNADE_NU PIE;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
BAIGNADE_NU PIE;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Tongs, Plage
BAIGNADE_NU PIE;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Tongs, Plage
BAIGNADE_NU PIE;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
BAIGNADE_SANDAL;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Sandales, nu pieds
BAIGNADE_SANDAL;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Sandales, nu pieds
BAIGNADE_SANDAL;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Sandales, nu pieds;;Chaussures enfants/Garcon/Sandales, nu pieds"
BAIGNADE_SANDAL;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Sandales, nu pieds
BAIGNADE_SANDAL;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Sandales, nu pieds
BAIGNADE_SANDAL;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Sandales, nu pieds;;Chaussures enfants/Garcon/Sandales, nu pieds"
BAIGNADE_TONG;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Tongs, Plage
BAIGNADE_TONG;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Tongs, Plage
BAIGNADE_TONG;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
BAIGNADE_TONG;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Tongs, Plage
BAIGNADE_TONG;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Tongs, Plage
BAIGNADE_TONG;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
BAIGNOIRE;BEBE;F;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BAIGNOIRE;BEBE;G;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BAIGNOIRE;BEBE;M;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BAIGNOIRE;DPAM;F;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BAIGNOIRE;DPAM;G;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BAIGNOIRE;DPAM;M;Hygiène et bain;La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats
BANDEAU;BEBE;F;Vêtements;"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards;;La Naissance et tout autour/Vêtements Naissance/Accessoires"
BANDEAU;BEBE;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Accessoires
BANDEAU;BEBE;M;Vêtements;"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards;;La Naissance et tout autour/Vêtements Naissance/Accessoires"
BANDEAU;DPAM;F;Vêtements;Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux
BANDEAU;DPAM;G;Vêtements;Garçon 3 - 14 ans/Accessoires garcon/Autres
BANDEAU;DPAM;M;Vêtements;Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux
BARRETTE;BEBE;F;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BARRETTE;BEBE;G;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BARRETTE;BEBE;M;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BARRETTE;DPAM;F;Default;Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux
BARRETTE;DPAM;G;Default;Garçon 3 - 14 ans/Accessoires garcon/Autres
BARRETTE;DPAM;M;Default;Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux
BAVOIR;BEBE;F;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BAVOIR;BEBE;G;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BAVOIR;BEBE;M;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BAVOIR;DPAM;F;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BAVOIR;DPAM;G;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BAVOIR;DPAM;M;Textile;La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes
BERMUDA;BEBE;F;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BERMUDA;BEBE;G;Vêtements;"Bébé garçon 3 à 23 mois/Bermudas, shorts;;La Naissance et tout autour/Vêtements Naissance/Les Bas"
BERMUDA;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BERMUDA;DPAM;F;Vêtements;Fille 3 - 14 ans/Jupes, Shorts, Corsaires
BERMUDA;DPAM;G;Vêtements;Garçon 3 - 14 ans/Bermudas, shorts
BERMUDA;DPAM;M;Vêtements;Garçon 3 - 14 ans/Bermudas, shorts
BIBERON;BEBE;F;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
BIBERON;BEBE;G;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
BIBERON;BEBE;M;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
BIBERON;DPAM;F;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
BIBERON;DPAM;G;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
BIBERON;DPAM;M;Biberonnerie;La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie
