attribute_id,attribute_code,label,EN,FR,ES,IT
94,recurring_profile,Recurring Payment Profile,Recurring Payment Profile,Détail de l'abonnement,Recurring Payment Profile,Recurring Payment Profile
165,related_tgtr_position_behavior,Related Target Rule Position Behavior,Related Target Rule Position Behavior,Comportement des règles de produits relatifs,Related Target Rule Position Behavior,Related Target Rule Position Behavior
164,related_tgtr_position_limit,Related Target Rule Rule Based Positions,Related Target Rule Rule Based Positions,Règle des produits relatifs,Related Target Rule Rule Based Positions,Related Target Rule Rule Based Positions
103,required_options,required_options,required_options,Options requises,opciones obligatoiras,Opzioni obbligatorie
123,samples_title,Samples title,Samples title,Titre des exemples,Samples title,Samples title
121,shipment_type,Shipment,Shipment,Livraison,Entrega,Tipo di spedizione
67,short_description,Short Description,Short Description,Description courte,Descripción corta,Descrizione breve
68,sku,SKU,SKU,SKU,SKU,SKU
118,sku_type,sku_type,sku_type,Type de SKU,Tipo de SKU,Tipo di SKU
80,small_image,Small Image,Small Image,Petite image,Imagen pequeña,Immagine piccola
106,small_image_label,Small Image Label,Small Image Label,Titre de la petite image,Título de la imagen pequeña,Titolo dell'immagine piccola
71,special_from_date,Special Price From Date,Special Price From Date,Prix spécial du,Precio especial a partir del,Prezzo speciale a partire dal
70,special_price,Special Price,Special Price,Prix spécial,Precio especial  ,Prezzo speciale
72,special_to_date,Special Price To Date,Special Price To Date,Prix spécial jusqu'au,Precio especial hasta el,Prezzo speciale fino al
89,status,Status,Status,Status,Estatus,Stato
115,tax_class_id,Tax Class,Tax Class,Classe de taxe,Tipo de impuesto,Tipo di tassa
81,thumbnail,Thumbnail,Thumbnail,Miniature,Miniatura,Miniatura
107,thumbnail_label,Thumbnail Label,Thumbnail Label,Titre de la miniature,Título de la miniatura,Nome della miniatura
84,tier_price,Tier Price,Tier Price,Tranches de prix,Franja de precio,Fascia di prezzo
109,updated_at,updated_at,updated_at,Date de modification,Fecha de modificación,Data di modifica
167,upsell_tgtr_position_behavior,Upsell Target Rule Position Behavior,Upsell Target Rule Position Behavior,Comportement des règles de produits croisés,Comportamiento de la regla de productos sugeridos,Upsell Target Rule Position Behavior
166,upsell_tgtr_position_limit,Upsell Target Rule Rule Based Positions,Upsell Target Rule Rule Based Positions,Règle de produit des produits croisés,Upsell Target Rule Rule Based Positions,Upsell Target Rule Rule Based Positions
90,url_key,URL Key,URL Key,Clef de URL,Clave URL,Chiave URL
91,url_path,url_path,url_path,Lien de l'URL,Enlace de la URL,Link URL
139,use_config_allow_message,Use Config Allow Message,Use Config Allow Message,Utiliser config pour les message,Use Config Allow Message,Use Config Allow Message
137,use_config_email_template,Use Config Email Template,Use Config Email Template,Utiliser la configuration des templates mail,Use Config Email Template,Use Config Email Template
133,use_config_is_redeemable,Use Config Is Redeemable,Use Config Is Redeemable,Utiliser config si remboursable,Use Config Is Redeemable,Use Config Is Redeemable
135,use_config_lifetime,Use Config Lifetime,Use Config Lifetime,Utiliser config pour le cycle de vie,Usar Config para ciclo de vida,Usare config per il ciclo di vita
95,visibility,Visibility,Visibility,Visibilité,Visibilidad,Visibilità
74,weight,Weight,Weight,Poids,Peso,Peso
119,weight_type,weight_type,weight_type,Type de poids,Tipo de peso,Tipo di peso
