attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_collection,admin,,Handles,Poignées,Due manici,Asas,Handles
,,,,Handlebars,Guidon,Maniglione unico,Manillar,Handlebars
