attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_size,admin,,To pull,A tirer,Da trainare,De arrastrar,To pull
,,,,To push,A pousser,Da spingere,De empujar,To push
,,,,Construction,Construction,Costruzione,Construcción,Construction
,,,,Awakening,Eveil,Prime attività,Primeros juguetes,Awakening
,,,,Bath,Bain,Bagnetto,Baño,Bath
,,,,Outdoor,Extérieur,Da esterno,Exterior,Outdoor
,,,,Indoor,Intérieur,Da interno,Interior,Indoor
