attribute_id,attribute_code,label,store_code,store_id,EN,FR,ES,IT
297,ocp_energetics_performance,Energetics performance,admin,1,Energetics performance,Performance energetique,Clase energética,Efficienza energetica
273,ocp_environment,Environnement,admin,1,Environment,Environnement,Ambiente,Ambiente
264,ocp_evolving,Evolving,admin,1,Evolving,Evolutif,Evolutivo,Evolutivo
293,ocp_external_matter,External matter,admin,1,External matter,Matière extérieure (Dessus / Tige),Material exterior,Composizione esterna
291,ocp_external_sole_matter,External sole matter,admin,1,External sole matter,Matière de la semelle extérieure,Material de la suela,Composizione della suola
278,ocp_fastening_type,Fastening type,admin,1,Fastening type,Type de fermeture ,Tipo de cerradura,Tipo di chiusura
267,ocp_finishing,Finishing,admin,1,Finishing,Finitions,Terminado,Finiture
234,ocp_fixation_base,Fixation base,admin,1,Fixation base,Base de fixation,Base de fijación,Base di fissaggio
241,ocp_fixing_system,Fixing system,admin,1,Fixing system,Systeme de fixation,Sistema de fijación,Sistema di fissaggio
286,ocp_flexible,Flexible,admin,1,Flexible,Pliable,Plegado,Pieghevole
260,ocp_flow,Flow,admin,1,Flow,Débit,Fluído,Flusso
258,ocp_footrest,Footrest,admin,1,Footrest,Repose-pieds,Reposa-piés,Poggiapiedi
269,ocp_format,Format,admin,1,Format,Format,Formato,Formato
246,ocp_function,Function,admin,1,Function,Fonction,Función,Funzione
217,ocp_functionnal,Functionnal,admin,1,Functionnal,Eligibilité fonctionnelle,Functionnal,Functionnal
232,ocp_gender,Gender,admin,1,Gender,Sexe,Sexo,Sesso
300,ocp_glass_type,Glass type,admin,1,Glass type,Type de verre,Tipo de vidrio,Tipo di vetro
222,ocp_handlebars,Handlebars,admin,1,Handlebars,Guidon,Manillar,Manubrio
272,ocp_harness,Harness,admin,1,Harness,Harnais,Arnés,Imbracatura
274,ocp_hat_size,Hat size,admin,1,Hat size,Tour de tête,Contorno de cabeza,Giro testa
248,ocp_headrest,Headrest,admin,1,Headrest,Appuie-tête,Reposa-cabezas,Poggiatesta
282,ocp_heel_height,Heel height,admin,1,Heel height,Hauteur du talon,Altura del talón,Altezza tacco
229,ocp_height_closed,Height closed,admin,1,Height closed,Dimension fermé - hauteur,Dimensión cerrado - altura,Dimensione chiuso - altezza
226,ocp_height_open,Height open,admin,1,Height open,Dimension ouvert - hauteur,Dimensión abierto - altura,Dimensione aperto - altezza
251,ocp_hood,Hood,admin,1,Hood,Capuche ,Capucha,Cappuccio
255,ocp_impermeability,Impermeability,admin,1,Impermeability,Imperméabilité,Impermeabilidad,Impermeabilità
242,ocp_included_accessories,Included accessories,admin,1,Included accessories,Accessoires inclus,Accesoirios incluídos,Accessori inclusi
211,ocp_instruction,Instruction,admin,1,Instruction,Mode d'emploi,Instrucciones,Istruzioni
292,ocp_internal_sole_matter,Internal sole matter,admin,1,Internal sole matter,Matière de la semelle intérieure,Material de la suela interior,Composizione della soletta
281,ocp_internal_sole_type,Internal sole type,admin,0,Internal sole type,Type de la semelle intérieure,Tipo de la suela interior,Tipo di soletta
270,ocp_kind,Kind,admin,1,Kind,Genre,Tipo,Tipo
215,ocp_label,Label,admin,1,Label,Libellé,Texto,Denominazione
289,ocp_language,Language,admin,1,Language,Langue,Idioma,Lingua
257,ocp_lateral_reinforcement,Lateral reinforcement,admin,1,Lateral reinforcement,Renforts latéraux,Protección lateral,Protezione laterale
227,ocp_length_closed,Length closed,admin,1,Length closed,Dimension fermé - longueur,Dimension cerrado - largo,Dimensione chiuso - lunghezza
224,ocp_length_open,Length open,admin,1,Length open,Dimension ouvert - longueur,Dimensión cerrado - ancho,Dimensione aperto - lunghezza
290,ocp_lining_matter,Lining matter,admin,1,Lining matter,Matière de la doublure,Material forro interno,Composizione dell'imbottitura
283,ocp_machine_wash,Machine wash,admin,1,Machine wash,Lavage en machine,Lavable en máquina,Lavabile in lavatrice
176,ocp_margin,Margin,admin,1,Margin,Marge,Margen,Margine
177,ocp_margin_rate,Margin rate,admin,1,Margin rate,Taux de marge,Margen en %,Margine in %
200,ocp_marketing_axis1,Marketing axis 1,admin,0,Marketing axis 1,axe 1,Marketing axis 1,Marketing axis 1
201,ocp_marketing_axis2,Marketing axis 2,admin,0,Marketing axis 2,axe 2,Marketing axis 2,Marketing axis 2
202,ocp_marketing_axis3,Marketing axis 3,admin,0,Marketing axis 3,axe 3,Marketing axis 3,Marketing axis 3
203,ocp_marketing_axis4,Marketing axis 4,admin,0,Marketing axis 4,axe 4,Marketing axis 4,Marketing axis 4
204,ocp_marketing_bestseller,Bestseller,admin,0,Bestseller,Produit phare,Bestseller,Bestseller
191,ocp_marketing_boolean1,Marketing boolean 1,admin,0,Marketing boolean 1,Marketing booléen 1,Marketing boolean 1,Marketing boolean 1
193,ocp_marketing_boolean2,Marketing boolean 2,admin,0,Marketing boolean 2,Marketing booléen 2,Marketing boolean 2,Marketing boolean 2
194,ocp_marketing_list1,Marketing list 1,admin,1,Marketing list 1,Marketing liste 1,Marketing list 1,Marketing list 1
195,ocp_marketing_list2,Marketing list 2,admin,0,Marketing list 2,Marketing liste 2,Marketing list 2,Marketing list 2
196,ocp_marketing_numeric1,Marketing numeric 1,admin,0,Marketing numeric 1,Marketing numérique 1,Marketing numeric 1,Marketing numeric 1
197,ocp_marketing_numeric2,Marketing numeric 2,admin,0,Marketing numeric 2,Marketing numérique 2,Marketing numeric 2,Marketing numeric 2
198,ocp_marketing_text1,Marketing text 1,admin,0,Marketing text 1,Marketing texte 1,Marketing text 1,Marketing text 1
199,ocp_marketing_text2,Marketing text 2,admin,0,Marketing text 2,Marketing texte 2,Marketing text 2,Marketing text 2
231,ocp_matter,Matter,admin,1,Matter,Matière,Material,Composizione
285,ocp_microwave,Microwave,admin,1,Microwave,Micro-onde,Microondas,Microonde
218,ocp_model,Model,admin,1,Model,Modèle,Modelo,Modello
271,ocp_oclio_pack_confiance,Oclio pack,admin,1,Oclio pack,Pack confiance,Pack confianza,Forfait Fiducia
294,ocp_pattern,Pattern,admin,1,Pattern,Motifs/imprimé,Motivos/estampado,Motivo/disegno
187,ocp_pcb_supplier,PCB supplier,admin,1,PCB supplier,Colisage fournisseur,Embalaje Fabricante,Collo fornitore
296,ocp_perfum,Perfum,admin,1,Perfum,Parfum,Perfume,Profumo
244,ocp_play_arch,Play arch,admin,1,Play arch,Arche de jeux,Arco de juego,Arco da gioco
295,ocp_pocket_numbers,Pocket numbers,admin,1,Pocket numbers,Nombre de poches,Número de bolsillos,Numero di tasche
280,ocp_portage_type,Portage type,admin,1,Portage type,Type de portage,Tipo de portaje,Tipo di porta neonato
236,ocp_position_number,Position number,admin,1,Position number,Nombre de position,Número de posición,Numero di posizione
206,ocp_price_percent,Price percent,admin,1,Price percent,Pourcentage du prix global ,Porcentaje del precio total,Percentuale del prezzo totale
207,ocp_price_percent_apply,Price percent apply,admin,1,Price percent apply,Appliquer un pourcentage du prix global ?,Aplicar el porcentaje al precio total?,Applicare una percentuale sul prezzo totale?
256,ocp_protected_belt,Protected belt,admin,1,Protected belt,Protège sangle(s),Protector de cinturón,Coprifibbia
250,ocp_publication_date,Publication date,admin,1,Publication date,Date de parution,Fecha de publicación,Data di pubblicazione
268,ocp_publisher,Publisher,admin,1,Publisher,Editeur ,Editor,Editore
223,ocp_rain_protection,Rain protection,admin,1,Rain protection,Protection pluie,Burbuja de lluvia,Parapioggia
214,ocp_range_level,Range level,admin,1,Range level,Niveau de gamme,Nivel de gama,Livello di gamma
213,ocp_range_products,Range products,admin,1,Range products,Gamme,Gama,Gamma
212,ocp_rich_media_360,Rich media 360,admin,1,Rich media 360,Visuel 360°,Visual 360°,Rich media 360°
239,ocp_road_position,Road position,admin,1,Road position,Position route,Posición de marcha,Posizione rispetto alla strada
245,ocp_rocking_speed,Rocking speed,admin,1,Rocking speed,Vitesse de balancement,Velocidad de balanceo,Velocità di dondolio
288,ocp_screenprinting,Screenprinting,admin,1,Screenprinting,Sérigraphie,Serigrafía,Stampa
299,ocp_season,Season,admin,1,Season,Saison,Estación,Stagione
240,ocp_seat_tilting,Seat tilting,admin,1,Seat tilting,Siège inclinable,Silla reclinable,Seggiolino reclinabile
235,ocp_shield,Shield,admin,1,Shield,Bouclier,Escudo,Scudo
298,ocp_shoes_size,Shoes size,admin,1,Shoes Size,Pointure,Talla zapato,Numero
221,ocp_siting_type,Siting type,admin,1,Siting type,Type d'assise,Tipo de asiento,Tipo di seduta
233,ocp_size,Size,admin,1,Size,Taille,Talla,Taglia
266,ocp_size_code,Size code,admin,1,Size code,Code taille,Código de talla,Codice taglia
178,ocp_sku_supplier,SKU supplier,admin,1,SKU supplier,SKU Fournisseur,SKU fabricante,SKU Fornitore
279,ocp_sleeve_type,Sleeve type,admin,1,Sleeve type,Type de manches,Tipo de mangas,Tipo di maniche
253,ocp_stackable,Stackable,admin,1,Stackable,Empilable,Apilable,Impilabile
243,ocp_supply,Supply,admin,1,Supply,Alimentation,Alimentación,Alimentazione
