attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_size,admin,,City,Ville,Città,Ciudad,City
,,,,Ruggedize,Tout terrain,Tutti i tipi di terreno,Todo terreno,Ruggedize
,,,,Jogging-running,Jogging-running,Jogging-running,Jogging-running,Jogging-running
