attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_collection,admin,,1,1,1,1,1
,,,,2,2,2,2,2
,,,,3,3,3,3,3
,,,,4,4,4,4,4
,,,,5,5,5,5,5
,,,,6,6,6,6,6
,,,,7,7,7,7,7
,,,,8,8,8,8,8
,,,,9,9,9,9,9
,,,,10,10,10,10,10
