attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_collection,admin,,Front road,Face route,Nel senso di marcia,De cara a la marcha,Front road
,,,,Back road,Dos route,Opposta al senso di marcia,De espaldas a la marcha,Back road
