attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_detection,admin,,Indoor,Intérieur,Interno,Interior,Indoor
,,,,Outdoor,Extérieur,Esterno,Exterior,Outdoor
