attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_collection,admin,,Reversible,Réversible,Reversibile,Reversible,Reversible
,,,,Tilting,Inclinable,Reclinabile,Reclinable,Tilting
