attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,ocp_function,admin,,Isofix,Isofix,Isofix,Isofix,Isofix
,,,,Belt basis,Base ceinture,Base con cintura di sicurezza,Base con cinturón,Belt basis
