attribute_id,attribute_code,store_code,value,label,oclio_fr,oclio_it,oclio_es,oclio_en
,,,,Electric,Electrique,Elettrico,Eléctrico,Electric
,,,,Electronic,Electronique,Elettronico,Electrónico,Electronic
,,,,Manual,Manuel,Manuale,Manual,Manual
,,,,Microwave,Micro-onde,Microonde,Microondas,Microwave
